strategy,family,parameter,side,input,output,average_price,slippage_bps
flashbots-c50,flashbots,concentration=50,sell_x,25,2487.562189054,99.50248756216,-49.751243783999755
dodo-k10000000000000000,dodo,K=10000000000000000,buy_x,0.01,0.000099999,100.0010000100001,-0.0999999999995449
dodo-k10000000000000000,dodo,K=10000000000000000,buy_x,0.1,0.000999999,100.00010000010002,-0.01000000000139778
dodo-k10000000000000000,dodo,K=10000000000000000,buy_x,1,0.009999989,100.000110000121,-0.0109999999997612
dodo-k10000000000000000,dodo,K=10000000000000000,buy_x,10,0.099998999,100.0010010100201,-0.10009999999893715
dodo-k10000000000000000,dodo,K=10000000000000000,buy_x,50,0.499974876,100.00502505249884,-0.5024799999997498
dodo-k10000000000000000,dodo,K=10000000000000000,buy_x,100,0.99989901,100.01010002000102,-1.009899999999675
dodo-k10000000000000000,dodo,K=10000000000000000,buy_x,500,4.99737126,100.05260245563584,-5.25747999999937
dodo-k10000000000000000,dodo,K=10000000000000000,buy_x,1000,9.988914874,100.11097427638364,-11.085126
dodo-k10000000000000000,dodo,K=10000000000000000,buy_x,2500,24.917308206,100.33186487607874,-33.076717600000194
dodo-k10000000000000000,dodo,K=10000000000000000,sell_x,0.0001,0.009999999,99.99999,-0.0010000000005838672
dodo-k10000000000000000,dodo,K=10000000000000000,sell_x,0.001,0.099999989,99.999989,-0.00109999999997612
dodo-k10000000000000000,dodo,K=10000000000000000,sell_x,0.01,0.999998999,99.9998999,-0.010010000000004737
dodo-k10000000000000000,dodo,K=10000000000000000,sell_x,0.1,9.999899901,99.99899900999999,-0.10009900000107486
dodo-k10000000000000000,dodo,K=10000000000000000,sell_x,0.5,49.99748769,99.99497538,-0.5024620000004809
dodo-k10000000000000000,dodo,K=10000000000000000,sell_x,1,99.98990104,99.98990104,-1.009895999999344
dodo-k10000000000000000,dodo,K=10000000000000000,sell_x,5,499.737126015,99.947425203,-5.257479700000456
dodo-k10000000000000000,dodo,K=10000000000000000,sell_x,10,998.891487418,99.8891487418,-11.085125819999542
dodo-k10000000000000000,dodo,K=10000000000000000,sell_x,25,2491.7308206,99.66923282399999,-33.0767176000013
flashbots-c100,flashbots,concentration=100,buy_x,0.01,0.000099999,100.0010000100001,-0.0999999999995449
flashbots-c100,flashbots,concentration=100,buy_x,0.1,0.000999999,100.00010000010002,-0.01000000000139778
flashbots-c100,flashbots,concentration=100,buy_x,1,0.00999999,100.00010000009999,-0.009999999999177334
flashbots-c100,flashbots,concentration=100,buy_x,10,0.099999,100.0010000100001,-0.0999999999995449
flashbots-c100,flashbots,concentration=100,buy_x,50,0.499975001,100.0050000499925,-0.49998000000051057
flashbots-c100,flashbots,concentration=100,buy_x,100,0.999900009,100.01000009991999,-0.9999100000002148
flashbots-c100,flashbots,concentration=100,buy_x,500,4.997501249,100.05000000751376,-4.997502000000376
flashbots-c100,flashbots,concentration=100,buy_x,1000,9.99000999,100.1000000001001,-9.990009999999439
flashbots-c100,flashbots,concentration=100,buy_x,2500,24.93765586,100.2500000014035,-24.93765600000031
flashbots-c100,flashbots,concentration=100,sell_x,0.0001,0.009999999,99.99999,-0.0010000000005838672
flashbots-c100,flashbots,concentration=100,sell_x,0.001,0.09999999,99.99999,-0.0010000000005838672
flashbots-c100,flashbots,concentration=100,sell_x,0.01,0.999999,99.9999,-0.010000000000287557
flashbots-c100,flashbots,concentration=100,sell_x,0.1,9.9999,99.999,-0.10000000000065512
flashbots-c100,flashbots,concentration=100,sell_x,0.5,49.997500124,99.995000248,-0.4999752000001134
flashbots-c100,flashbots,concentration=100,sell_x,1,99.990000999,99.990000999,-0.9999000999993957
flashbots-c100,flashbots,concentration=100,sell_x,5,499.750124937,99.9500249874,-4.997501260000092
