treatment,baseline,metric,samples,mean,p5,p50,p95,std_error,ci95_low,ci95_high,t_stat,paired_win_rate,significant_95
dodo-k200000000000000000,univ3-full-range-zero-fee,netEdge,1000,398.78430836127,4.620978656338906,295.03597362099595,1099.1007365907021,11.727181882845457,375.7994542307423,421.7691624917977,34.00512692180654,0.999,true
dodo-k200000000000000000,univ3-full-range-zero-fee,retailEdge,1000,-1092.318444340254,-2340.5927189967715,-957.3118274274095,-330.40669816405676,19.422076273402848,-1130.3850143411134,-1054.2518743393946,-56.24107479364122,0,true
dodo-k200000000000000000,univ3-full-range-zero-fee,arbitrageEdge,1000,1491.102752701526,502.0615499497103,1374.2149942635308,2867.7012602236064,22.654536787765164,1446.7006765110687,1535.5048288919834,65.81916755441289,1,true
flashbots-c5,univ3-full-range-zero-fee,netEdge,1000,398.78883202044767,4.625211947362928,295.0953824474565,1098.9075254868783,11.727628520643727,375.8031024959212,421.7745615449741,34.00421758912928,0.999,true
flashbots-c5,univ3-full-range-zero-fee,retailEdge,1000,-1089.7133606410212,-2282.010701113396,-957.5731486129159,-334.4946340269969,19.253367989390608,-1127.449268481323,-1051.9774528007192,-56.598583751242785,0,true
flashbots-c5,univ3-full-range-zero-fee,arbitrageEdge,1000,1488.502192661468,504.9394484494731,1372.9884851127358,2847.777554733233,22.494034624833713,1444.414694929797,1532.5896903931389,66.17319736043002,1,true
dodo-k100000000000000000,univ3-full-range-zero-fee,netEdge,1000,398.77119168867756,4.63016752750918,295.04074291503105,1099.0737936690552,11.727531788443766,375.78565175577916,421.75673162157597,34.002993885006916,0.999,true
dodo-k100000000000000000,univ3-full-range-zero-fee,retailEdge,1000,-1239.8468713954096,-2657.01118174484,-1086.0935799174028,-372.32218542489704,22.15182778618514,-1283.2636560480662,-1196.430086742753,-55.97040945617287,0,true
dodo-k100000000000000000,univ3-full-range-zero-fee,arbitrageEdge,1000,1638.6180630840856,553.5043076195235,1492.3594804005832,3165.1884013636836,25.05065530425041,1589.5196808986275,1687.7164452695438,65.41218356096485,1,true
flashbots-c10,univ3-full-range-zero-fee,netEdge,1000,398.7730130205698,4.6326810582207685,295.0637061625709,1098.9716229142748,11.727775046720788,375.78699631020953,421.7590297309301,34.00244389340253,0.999,true
flashbots-c10,univ3-full-range-zero-fee,retailEdge,1000,-1239.2582365026658,-2627.000338187181,-1088.7772693639747,-374.3812628025592,22.078056059948295,-1282.5304312288208,-1195.9860417765108,-56.130767724192836,0,true
flashbots-c10,univ3-full-range-zero-fee,arbitrageEdge,1000,1638.031249523235,550.3604750483162,1496.3808070692064,3138.5228733800345,24.977601477674582,1589.0760502067983,1686.9864488396715,65.58000578988083,1,true
dodo-k50000000000000000,univ3-full-range-zero-fee,netEdge,1000,398.76433001894753,4.627783825279614,295.03895052726364,1099.0484113012878,11.72773350488356,375.77839472909204,421.750265308803,34.001823954551625,0.999,true
dodo-k50000000000000000,univ3-full-range-zero-fee,retailEdge,1000,-1314.674172433054,-2814.0600217154415,-1149.6827104443219,-394.6597483210642,23.550676041323484,-1360.8326492856183,-1268.5156955804898,-55.82320312700344,0,true
dodo-k50000000000000000,univ3-full-range-zero-fee,arbitrageEdge,1000,1713.4385024520022,581.3849783009988,1555.9616449534058,3328.6429256160877,26.30318126196619,1661.8852144997197,1764.9917904042848,65.14187334935018,1,true
flashbots-c20,univ3-full-range-zero-fee,netEdge,1000,398.765415511674,4.629214689387371,295.0487664075241,1099.0058064846817,11.727847817156825,375.77925617387996,421.75157484946806,34.00158509290296,0.999,true
flashbots-c20,univ3-full-range-zero-fee,retailEdge,1000,-1314.6136301652425,-2811.100844421592,-1152.256933233209,-394.49025054313836,23.519761761082933,-1360.7115161419274,-1268.5157441885576,-55.89400281853506,0,true
flashbots-c20,univ3-full-range-zero-fee,arbitrageEdge,1000,1713.3790456769184,581.8394698342621,1556.3661776368085,3308.268361603469,26.271397831536287,1661.8880521035835,1764.8700392502533,65.21841953990631,1,true
dodo-k20000000000000000,univ3-full-range-zero-fee,netEdge,1000,398.76001063940413,4.625638430419505,295.03587944439505,1099.0325615058107,11.72784581737407,375.7738552211122,421.74616605769603,34.001130032649826,0.999,true
dodo-k20000000000000000,univ3-full-range-zero-fee,retailEdge,1000,-1359.896012638861,-2909.768013199289,-1187.4610789478195,-407.33289966817836,24.40356321849895,-1407.7261176415655,-1312.0659076361567,-55.72530537704434,0,true
dodo-k20000000000000000,univ3-full-range-zero-fee,arbitrageEdge,1000,1758.656023278266,596.3013674484147,1591.461019203888,3415.249521962369,27.074333801752168,1705.5913041214164,1811.7207424351157,64.95657607517757,1,true
flashbots-c50,univ3-full-range-zero-fee,netEdge,1000,398.76071291489995,4.62603626572518,295.0390938173926,1099.0169056152508,11.727898410641927,375.7744544156972,421.7469714141027,34.00103743677242,0.999,true
flashbots-c50,univ3-full-range-zero-fee,retailEdge,1000,-1359.9339708260286,-2909.17304801665,-1187.4324944652885,-407.50122510255426,24.393712712544758,-1407.7447691918333,-1312.123172460224,-55.74936406161192,0,true
flashbots-c50,univ3-full-range-zero-fee,arbitrageEdge,1000,1758.694683740931,596.4442253060859,1592.9476991831893,3416.4058585224548,27.063714262415715,1705.6507784987132,1811.7385889831487,64.98349290449349,1,true
dodo-k10000000000000000,univ3-full-range-zero-fee,netEdge,1000,398.7588397980939,4.626087664829075,295.0326995665433,1099.0294169591405,11.727893469717447,375.77259098292524,421.74508861326257,34.00089204661755,0.999,true
dodo-k10000000000000000,univ3-full-range-zero-fee,retailEdge,1000,-1375.0514020589162,-2942.319180761741,-1200.050671734029,-411.7358645067972,24.690738967516587,-1423.4443611869283,-1326.6584429309041,-55.69097805731733,0,true
dodo-k10000000000000000,univ3-full-range-zero-fee,arbitrageEdge,1000,1773.8102418570068,601.9195307543895,1602.3657634440692,3447.7448733855467,27.334994081064103,1720.2346379405055,1827.385845773508,64.89155390327252,1,true
flashbots-c100,univ3-full-range-zero-fee,netEdge,1000,398.75911889028265,4.626465590198258,295.0349928835397,1099.0241142937975,11.727917520579691,375.77282293629014,421.74541484427516,34.000846117015726,0.999,true
flashbots-c100,univ3-full-range-zero-fee,retailEdge,1000,-1375.090478373765,-2941.726017688898,-1200.1843982387984,-411.6479728630256,24.686009160986785,-1423.474167251325,-1326.7067894962051,-55.703231308320476,0,true
flashbots-c100,univ3-full-range-zero-fee,arbitrageEdge,1000,1773.849597264047,602.414721991378,1602.004929683992,3444.2067640029377,27.329694599397694,1720.2843801407487,1827.4148143873451,64.90557700206207,1,true
dodo-k1000000000000000,univ3-full-range-zero-fee,netEdge,1000,398.757274594152,4.626774615212886,295.0333911313603,1099.023629408703,11.727913892738835,375.77098575059694,421.7435634377071,34.00069937766483,0.999,true
dodo-k1000000000000000,univ3-full-range-zero-fee,retailEdge,1000,-1388.707496940374,-2971.4783803044083,-1211.7370039109871,-415.52318970551244,24.950541381149502,-1437.6096594422033,-1339.8053344385448,-55.658411403832815,0,true
dodo-k1000000000000000,univ3-full-range-zero-fee,arbitrageEdge,1000,1787.4647715345263,606.5940649470648,1612.2202864525084,3477.356648489802,27.571301725070914,1733.4260131465003,1841.5035299225524,64.83062676395737,1,true
flashbots-c1000,univ3-full-range-zero-fee,netEdge,1000,398.7576942602675,4.62672288494524,295.03412899853004,1099.0252987587658,11.727924748815031,375.7713841391941,421.7440043813409,34.00070368805506,0.999,true
flashbots-c1000,univ3-full-range-zero-fee,retailEdge,1000,-1388.7286946573956,-2971.4826942675763,-1211.8103767771759,-415.5452964889606,24.950134488335994,-1437.6300596639649,-1339.8273296508264,-55.660168697952955,0,true
flashbots-c1000,univ3-full-range-zero-fee,arbitrageEdge,1000,1787.4863889176627,606.5998693706504,1612.094997447738,3477.174099025169,27.57076633073446,1733.4486798832536,1841.5240979520718,64.83266977331223,1,true
univ2-zero-fee,univ3-full-range-zero-fee,netEdge,1000,0.0018624455490833327,-0.15147940954329897,0.0009924253390636295,0.15933236326293354,0.002810985962507783,-0.0036469856984795808,0.007371876796646246,0.6625595338874539,0.514,false
univ2-zero-fee,univ3-full-range-zero-fee,retailEdge,1000,-0.0015144751235679906,-0.28664878440292796,-0.002423948669274978,0.2612021516481491,0.005920443986202634,-0.013118332109011907,0.010089381861875926,-0.25580431587519725,0.481,false
univ2-zero-fee,univ3-full-range-zero-fee,arbitrageEdge,1000,0.003376920672652318,-0.29796313846554767,0.004079658049022328,0.330349933170055,0.006576043624081626,-0.009511887991311923,0.01626572933661656,0.5135185935029316,0.508,false
